index,len_payload,fernet_enc,fernet_dec,rsa_enc,rsa_dec
108,178,2.8300011763349175e-05,2.1499989088624716e-05,3.739999374374747e-05,0.0003147000097669661
109,162,2.820001100189984e-05,2.1599989850074053e-05,3.7699996028095484e-05,0.0003209999995306134
110,174,3.339999238960445e-05,2.1599989850074053e-05,3.6900019040331244e-05,0.0003197999903932214
111,161,2.6599998818710446e-05,2.139998832717538e-05,3.6600016755983233e-05,0.0003615999885369092
112,168,3.2499985536560416e-05,2.8300011763349175e-05,4.149999585933983e-05,0.00033870001789182425
113,169,3.949998063035309e-05,2.2499996703118086e-05,4.040001658722758e-05,0.0003163999936077744
114,180,2.8600014047697186e-05,2.2099993657320738e-05,3.789999755099416e-05,0.00031480001052841544
115,168,2.649999805726111e-05,2.169999061152339e-05,3.840000135824084e-05,0.0003252000024076551
116,172,2.8700014809146523e-05,2.4299981305375695e-05,3.7600024370476604e-05,0.0003161999920848757
117,172,2.710000262595713e-05,2.1299987565726042e-05,3.6699988413602114e-05,0.0003144000074826181
118,180,2.6599998818710446e-05,2.1499989088624716e-05,3.679998917505145e-05,0.0003141000051982701
119,176,2.6599998818710446e-05,2.1099986042827368e-05,3.6900019040331244e-05,0.0005040999967604876
120,170,7.069998537190259e-05,2.7400004910305142e-05,4.67000063508749e-05,0.0003266999847255647
121,172,3.2499985536560416e-05,2.4300010409206152e-05,4.549999721348286e-05,0.0003245999978389591
122,162,2.9700022423639894e-05,2.3899978259578347e-05,3.91000066883862e-05,0.00033730000723153353
123,178,3.0800001695752144e-05,2.3999979021027684e-05,3.9300008211284876e-05,0.0003217000048607588
124,165,2.789997961372137e-05,2.1800020476803184e-05,3.710002056322992e-05,0.000314499979140237
125,164,2.7000001864507794e-05,2.19999928958714e-05,3.6999990697950125e-05,0.0003144000074826181
126,178,2.7300004148855805e-05,2.1899992134422064e-05,3.689998993650079e-05,0.00032270001247525215
127,182,2.850001328624785e-05,2.169999061152339e-05,3.749999450519681e-05,0.00031480001052841544
128,175,2.6599998818710446e-05,2.1500018192455173e-05,3.680001827888191e-05,0.0007763000030536205
129,176,3.0199997127056122e-05,2.2800028091296554e-05,3.7999998312443495e-05,0.00031540001509711146
130,166,2.9000017093494534e-05,2.2099993657320738e-05,3.7999998312443495e-05,0.0003169999981764704
131,170,2.7399975806474686e-05,2.160001895390451e-05,3.63999861292541e-05,0.00031430000672116876
132,171,2.6299996534362435e-05,2.1500018192455173e-05,3.709999145939946e-05,0.00031480001052841544
133,164,2.680000034160912e-05,2.1499989088624716e-05,3.680001827888191e-05,0.00031469998066313565
134,182,2.6900001103058457e-05,2.1599989850074053e-05,3.679998917505145e-05,0.00032469999860040843
135,172,2.889998722821474e-05,2.2099993657320738e-05,3.7500023609027267e-05,0.0003148999821860343
